state,positive,negative,totalTestResults
AK,355,18764,19119
AL,7019,80177,87196
AR,3255,45124,48379
AS,0,3,3
AZ,7648,64138,71786
CA,48917,576420,625337
CO,14758,56301,71059
CT,27700,69433,97133
DC,4323,15756,20079
DE,4734,17086,21820
FL,33690,348715,382405
GA,26155,122889,149044
GU,146,1962,2108
HI,613,30027,30640
IA,7145,35522,42667
ID,1984,26862,28846
IL,52918,216949,269867
IN,17835,77163,94998
KS,4238,27388,31626
KY,4539,49562,54101
LA,28001,133308,161309
MA,62205,213442,275647
MD,21742,92617,114359
ME,1095,19546,20641
MI,47505,168944,216449
MN,8116,73349,81465
MO,7562,73125,80687
MP,14,585,599
MS,6815,59525,66340
MT,453,13461,13914
NC,10509,117527,128036
ND,1067,26393,27460
NE,3784,21537,25321
NH,2054,19867,21921
NJ,118652,129266,247918
NM,3213,61872,65085
NV,4998,36988,41986
NY,304372,596264,900636
OH,18027,115863,133890
OK,3618,59804,63422
OR,2510,53522,56032
PA,45763,175602,221365
PR,1539,9313,10852
RI,8621,55089,63710
SC,6095,50417,56512
SD,2449,14579,17028
TN,10735,166891,177626
TX,28087,302213,330300
UT,4672,103829,108501
VA,15846,75663,91509
VI,66,807,873
VT,879,14357,15236
WA,16309,189001,205310
WI,8052,69394,77446
WV,1118,43423,44541
WY,544,8902,9446