date,state,positive
20200317,AK,3
20200317,AL,36
20200317,AR,22
20200317,AS,
20200317,AZ,20
20200317,CA,483
20200317,CO,160
20200317,CT,41
20200317,DC,22
20200317,DE,16
20200317,FL,186
20200317,GA,146
20200317,GU,5
20200317,HI,10
20200317,IA,23
20200317,ID,7
20200317,IL,159
20200317,IN,30
20200317,KS,15
20200317,KY,22
20200317,LA,137
20200317,MA,118
20200317,MD,57
20200317,ME,32
20200317,MI,3659
20200317,MN,246
20200317,MO,8
20200317,MP,0
20200317,MS,21
20200317,MT,8
20200317,NC,40
20200317,ND,3
20200317,NE,21
20200317,NH,17
20200317,NJ,267
20200317,NM,23
20200317,NV,55
20200317,NY,1700
20200317,OH,67
20200317,OK,17
20200317,OR,47
20200317,PA,96
20200317,PR,5
20200317,RI,23
20200317,SC,33
20200317,SD,11
20200317,TN,73
20200317,TX,64
20200317,UT,51
20200317,VA,67
20200317,VI,2
20200317,VT,19
20200317,WA,3432
20200317,WI,83
20200317,WV,0
20200317,WY,10
20200324,AK,36
20200324,AL,215
20200324,AR,218
20200324,AS,
20200324,AZ,357
20200324,CA,2102
20200324,CO,720
20200324,CT,618
20200324,DC,137
20200324,DE,91
20200324,FL,1412
20200324,GA,1026
20200324,GU,32
20200324,HI,77
20200324,IA,124
20200324,ID,50
20200324,IL,1535
20200324,IN,365
20200324,KS,98
20200324,KY,124
20200324,LA,1388
20200324,MA,1060
20200324,MD,349
20200324,ME,125
20200324,MI,10155
20200324,MN,444
20200324,MO,183
20200324,MP,0
20200324,MS,320
20200324,MT,46
20200324,NC,398
20200324,ND,34
20200324,NE,52
20200324,NH,101
20200324,NJ,3675
20200324,NM,83
20200324,NV,278
20200324,NY,25665
20200324,OH,564
20200324,OK,106
20200324,OR,209
20200324,PA,851
20200324,PR,39
20200324,RI,124
20200324,SC,298
20200324,SD,30
20200324,TN,667
20200324,TX,410
20200324,UT,299
20200324,VA,290
20200324,VI,17
20200324,VT,125
20200324,WA,5923
20200324,WI,525
20200324,WV,20
20200324,WY,29
20200331,AK,119
20200331,AL,981
20200331,AR,523
20200331,AS,0
20200331,AZ,1289
20200331,CA,7482
20200331,CO,2627
20200331,CT,3128
20200331,DC,495
20200331,DE,319
20200331,FL,6338
20200331,GA,3929
20200331,GU,69
20200331,HI,204
20200331,IA,497
20200331,ID,415
20200331,IL,5994
20200331,IN,2159
20200331,KS,428
20200331,KY,480
20200331,LA,5237
20200331,MA,6521
20200331,MD,1660
20200331,ME,303
20200331,MI,18654
20200331,MN,916
20200331,MO,1327
20200331,MP,2
20200331,MS,937
20200331,MT,184
20200331,NC,1498
20200331,ND,126
20200331,NE,172
20200331,NH,314
20200331,NJ,18696
20200331,NM,281
20200331,NV,1113
20200331,NY,75795
20200331,OH,2199
20200331,OK,565
20200331,OR,690
20200331,PA,4843
20200331,PR,239
20200331,RI,489
20200331,SC,1083
20200331,SD,108
20200331,TN,2239
20200331,TX,3266
20200331,UT,887
20200331,VA,1250
20200331,VI,30
20200331,VT,320
20200331,WA,8431
20200331,WI,1585
20200331,WV,162
20200331,WY,109