Geographic_Area_Name,Abr,Estimate_Total,Estimate_Total_Under_18_years,Estimate_Total_18_to_24_years,Estimate_Total_25_to_34_years,Estimate_Total_35_to_44_years,Estimate_Total_45_to_54_years,Estimate_Total_55_to_64_years,Estimate_Total_65_years_and_over
Alaska,AK,737438,183460,68625,117688,97020,89333,93312,88000
Alabama,AL,4887871,1089105,461302,635976,593480,626173,652172,829663
Arkansas,AR,3013825,703960,287926,392937,367053,370343,383930,507676
Arizona,AZ,7171646,1641999,689343,979328,882618,852462,866793,1259103
California,CA,39557045,8985538,3755863,6034398,5264457,5068026,4781426,5667337
Colorado,CO,5695564,1266738,528539,889656,781388,710218,711170,807855
Connecticut,CT,3572665,735066,344203,447891,424573,494642,513143,613147
District_of_Columbia,DC,702455,127214,75065,163467,105535,75526,70022,85626
Delaware,DE,967171,203150,84321,127399,112393,122887,136265,180756
Florida,FL,21299325,4227875,1769325,2758515,2586704,2741968,2856154,4358784
Georgia,GA,10519475,2503293,1038010,1442243,1401044,1396330,1282127,1456428
Hawaii,HI,1420491,303255,121647,201025,181541,171390,180166,261467
Iowa,IA,3156145,733389,317964,394507,383617,369396,419454,537818
Idaho,ID,1754208,445370,165091,228080,219713,201135,215378,279441
Illinois,IL,12741080,2855802,1178902,1765517,1644390,1636054,1669867,1990548
Indiana,IN,6691878,1567057,656928,874246,826473,841750,874278,1051146
Kansas,KS,2911510,705151,294933,376422,359447,339683,373683,462191
Kentucky,KY,4468402,1007781,421207,579520,553107,575373,600022,731392
Louisiana,LA,4659978,1097585,436660,645255,589714,567313,602841,720610
Massachusetts,MA,6902149,1367126,702295,990332,842140,921551,941164,1137541
Maryland,MD,6042718,1338355,537024,826526,775079,822740,811953,931041
Maine,ME,1338404,248552,106470,159944,153436,180466,213467,276069
Michigan,MI,9995915,2164265,961804,1291353,1165562,1290759,1401719,1720453
Minnesota,MN,5611179,1302047,499903,759541,714967,689680,756407,888634
Missouri,MO,6126452,1377726,565939,819132,742343,753354,832884,1035074
Mississippi,MS,2986530,705722,303525,379027,380696,359664,383473,474423
Montana,MT,1062305,229965,96579,133976,128663,121090,151793,200239
North_Carolina,NC,10383620,2296858,984618,1382310,1310404,1378087,1342769,1688574
North_Dakota,ND,760077,174714,84584,116734,90872,81517,95223,116433
Nebraska,NE,1929268,474886,187942,256755,244896,218816,241975,303998
New_Hampshire,NH,1356458,258128,127582,167822,154965,189718,213087,245156
New_Jersey,NJ,8908520,1951005,768272,1151093,1147591,1233599,1218671,1438289
New_Mexico,NM,2095428,480237,198710,279153,256261,239928,272659,368480
Nevada,NV,3034392,689220,248598,442713,405128,396167,377446,475120
New_York,NY,19542209,4064685,1805181,2872898,2433825,2557338,2596217,3212065
Ohio,OH,11689442,2590436,1071971,1533104,1396763,1488201,1612804,1996163
Oklahoma,OK,3943079,956320,379146,542736,492077,459013,494186,619601
Oregon,OR,4190713,872588,365745,592655,556833,519480,543801,739611
Pennsylvania,PA,12807060,2647617,1164816,1695073,1496113,1659541,1811531,2332369
Puerto_Rico,PR,3195153,594010,313113,381445,396979,422128,426262,661216
Rhode_Island,RI,1057315,203908,112712,146349,123137,140006,148558,182645
South_Carolina,SC,5084127,1104409,487363,654355,623363,637009,677874,899754
South_Dakota,SD,882235,214463,84922,116300,105167,97263,117762,146358
Tennessee,TN,6770010,1509375,619812,914783,846438,883961,890844,1104797
Texas,TX,28701845,7399484,2825264,4181960,3910623,3550999,3233916,3599599
Utah,UT,3161105,931831,357372,463344,437953,319031,300277,351297
Vermont,VA,626299,115527,64948,75058,70113,80695,96083,123875
Virginia,VT,8517685,1869640,826038,1170188,1114566,1115695,1103333,1318225
Washington,WA,7535591,1661939,658589,1153369,1006328,930921,960458,1163987
Wisconsin,WI,5813568,1272105,549441,735765,706676,738357,824741,986483
West_Virginia,WV,1805832,363225,161826,209002,218803,233109,258651,361216
Wyoming,WY,577737,133096,51505,77254,72405,67487,79433,96557