States,Population,Abr
Alabama,"4,903,185",AL
Alaska,"731,545",AK
Arizona,"7,278,717",AZ
Arkansas,"3,017,804",AR
California,"39,512,223",CA
Colorado,"5,758,736",CO
Connecticut,"3,565,287",CT
Delaware,"973,764",DE
District of Columbia,"705,749",DC
Florida,"21,477,737",FL
Georgia,"10,617,423",GA
Hawaii,"1,415,872",HI
Idaho,"1,787,065",ID
Illinois,"12,671,821",IL
Indiana,"6,732,219",IN
Iowa,"3,155,070",IA
Kansas,"2,913,314",KS
Kentucky,"4,467,673",KY
Louisiana,"4,648,794",LA
Maine,"1,344,212",ME
Maryland,"6,045,680",MD
Massachusetts,"6,892,503",MA
Michigan,"9,986,857",MI
Minnesota,"5,639,632",MN
Mississippi,"2,976,149",MS
Missouri,"6,137,428",MO
Montana,"1,068,778",MT
Nebraska,"1,934,408",NE
Nevada,"3,080,156",NV
New Hampshire,"1,359,711",NH
New Jersey,"8,882,190",NJ
New Mexico,"2,096,829",NM
New York,"19,453,561",NY
North Carolina,"10,488,084",NC
North Dakota,"762,062",ND
Ohio,"11,689,100",OH
Oklahoma,"3,956,971",OK
Oregon,"4,217,737",OR
Pennsylvania,"12,801,989",PA
Rhode Island,"1,059,361",RI
South Carolina,"5,148,714",SC
South Dakota,"884,659",SD
Tennessee,"6,829,174",TN
Texas,"28,995,881",TX
Utah,"3,205,958",UT
Vermont,"623,989",VT
Virginia,"8,535,519",VA
Washington,"7,614,893",WA
West Virginia,"1,792,147",WV
Wisconsin,"5,822,434",WI
Wyoming,"578,759",WY
Puerto Rico,"3,193,694",PR
,,
,,
,,
,,
,,